,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,22,POR,NBA,PF,5,42,,,,100%,,-19.0,-8.2,2,0,4,1,0,0,0,0,1
2011-12,24,MEM,NBA,PF,7,49,,,,100%,,-27.5,-32.6,1,0,3,0,0,1,0,0,2
2014-15,27,NOP,NBA,PF,4,75,,,53%,47%,,+10.9,+30.0,0,0,4,0,2,0,5,1,1
2018-19,31,SAS,NBA,PF,5,13,,,62%,38%,,+43.5,+47.0,0,0,0,0,0,0,0,0,1
Career,,,NBA,,21,179,,,27%,73%,,-4.3,+5.1,3,0,11,1,2,1,5,1,5
,,,,,,,,,,,,,,,,,,,,,,
1 season,,MEM,NBA,,7,49,,,,100%,,-27.5,-32.6,1,0,3,0,0,1,0,0,2
1 season,,POR,NBA,,5,42,,,,100%,,-19.0,-8.2,2,0,4,1,0,0,0,0,1
1 season,,SAS,NBA,,5,13,,,62%,38%,,+43.5,+47.0,0,0,0,0,0,0,0,0,1
1 season,,NOP,NBA,,4,75,,,53%,47%,,+10.9,+30.0,0,0,4,0,2,0,5,1,1
