Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Dante Cunningham,,3.5,3.4,3,2.9,2.4,2.1,2,1.9,1.9,1.6
J.R. Reid,91.2,3.5,3.4,3,2.5,2.5,2.1,1.8,1.8,1.1,0.7
Othella Harrington,90.0,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8
Tom McMillen,89.3,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2,0.8
Tom Hawkins,87.6,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1
Charles Jones,87.5,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,0
Mark Bryant,87.4,3.6,3.2,2.5,2.3,2.3,2.1,2.1,1.6,1.1,1
Fred Roberts,86.8,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.2
Jonas Jerebko,82.3,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4,NA
Vladimir Radmanović,80.7,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,0.8,0
Lorenzen Wright,80.2,5.2,3.7,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4
