Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Reggie Jackson,,6.9,5,4.9,4.9,2.5,2,1.9,0.1
J.J. Redick,90.4,6.5,5.2,4.5,4.5,3,2.3,1.7,0.5
Arron Afflalo,88.1,6.2,5.3,5.3,4.3,2.6,2,1.9,1.8
Kevin Porter,87.9,6.5,6.2,5.2,4.2,2.7,2.3,1.8,0.5
Willie Anderson,87.5,6.5,5.6,4.9,4.8,3.3,1.4,0.7,-0.1
Lou Williams,86.5,6.1,5.2,5.1,4.4,3.4,2.4,1.1,-0.1
Walt Hazzard,85.9,5.4,5.3,5,4.5,3.3,2.5,2.2,0.2
Raja Bell,85.9,6.8,5.8,4.5,3.7,2.2,1.7,1.1,-0.1
Travis Best,85.2,7.2,5.1,4.1,3.4,3.3,2.1,1.8,0.7
John Paxson,85.0,6,5.7,4.8,4.2,3.3,2.3,2.2,0.6
Adrian Smith,85.0,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8
