Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Reggie Jackson,,6.9,5,4.9,4.9,2.5,2,1.9,0.1,NA,NA
Bryant Stith,89.8,6.8,5.6,5.2,4.8,3,1.6,1.6,0.7,0.5,-0.3
Willie Anderson,86.9,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1,NA
Mahmoud Abdul-Rauf,85.0,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1,NA
Dave Twardzik,84.9,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA
Bobby Phills,83.4,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA
Dick Garmaker,83.2,7.5,4.7,4.6,4.4,3.1,1.3,NA,NA,NA,NA
Butch Beard,82.8,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA
Larry Brown,82.6,6.6,5.8,5.1,5,2.4,NA,NA,NA,NA,NA
Ricky Rubio,82.5,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA,NA
Odie Spears,82.3,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA,NA
