,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2014-15,20,ORL,NBA,PG,82,2489,.425,6.9,.941,.458,.301,.103,.078,.059,.435,.515,.376,.329,.345,.262,.179,.041,27,.909,.310,.385,0,0
2015-16,21,ORL,NBA,PG,73,2145,.436,8.8,.874,.411,.212,.104,.147,.126,.451,.583,.381,.355,.252,.326,.285,.016,9,.933,.283,.308,1,0
2016-17,22,ORL,NBA,PG,82,2412,.471,9.2,.840,.424,.219,.088,.106,.160,.509,.610,.430,.363,.402,.274,.133,.018,16,.900,.253,.324,2,0
2017-18,23,TOT,NBA,PG,63,1808,.493,8.1,.862,.405,.264,.105,.088,.138,.520,.674,.398,.371,.356,.326,.207,.016,9,.833,.261,.375,0,0
2017-18,23,ORL,NBA,PG,44,1257,.520,8.2,.854,.410,.260,.107,.076,.146,.545,.702,.403,.408,.371,.373,.230,.013,5,.880,.313,.429,0,0
2017-18,23,PHO,NBA,PG,19,551,.435,8.0,.880,.392,.273,.100,.115,.120,.467,.610,.386,.286,.333,.200,.151,.024,4,.600,.120,.000,0,0
2018-19,24,NOP,NBA,PG,42,1250,.434,9.5,.745,.413,.296,.024,.012,.255,.476,.541,.377,.500,.600,.314,.349,.019,6,.848,.057,.167,1,0
2019-20,25,NYK,NBA,PG,45,1246,.439,8.7,.843,.407,.268,.105,.064,.157,.482,.575,.407,.348,.429,.203,.212,.020,9,.857,.159,.273,0,0
Career,,,NBA,,387,11350,.452,8.5,.859,.421,.254,.092,.091,.141,.479,.586,.395,.358,.345,.289,.212,.022,76,.880,.214,.325,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ORL,NBA,,281,8303,.458,8.3,.876,.427,.245,.099,.105,.124,.480,.592,.397,.360,.333,.305,.199,.022,57,.906,.280,.351,3,0
1 season,,NYK,NBA,,45,1246,.439,8.7,.843,.407,.268,.105,.064,.157,.482,.575,.407,.348,.429,.203,.212,.020,9,.857,.159,.273,0,0
1 season,,NOP,NBA,,42,1250,.434,9.5,.745,.413,.296,.024,.012,.255,.476,.541,.377,.500,.600,.314,.349,.019,6,.848,.057,.167,1,0
1 season,,PHO,NBA,,19,551,.435,8.0,.880,.392,.273,.100,.115,.120,.467,.610,.386,.286,.333,.200,.151,.024,4,.600,.120,.000,0,0
