Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Elfrid Payton,,4.4,2.8,2.3,2.2,1.5
Mike Glenn,92.5,4.4,2.8,2.8,2.1,1.9
Spud Webb,91.8,4.5,3.5,2.3,2.2,1.2
Chucky Atkins,89.8,5.1,2.8,2.7,2.4,1.5
Scott Brooks,88.8,4.6,2.9,2.7,2.6,2.1
Darrell Walker,88.7,3.8,2.8,2.3,2.1,0.8
Todd Day,88.5,4.8,3.2,2.6,2.1,1.9
Henry Bibby,87.8,4.1,2.9,2.3,1.5,1
Andre Roberson,87.5,4.2,3.4,2.2,2.1,0.8
Eric Piatkowski,87.4,3.9,2.3,2.3,2,1.2
Frank Johnson,87.3,4.3,3,2.1,1.9,0.5
