Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Elfrid Payton,,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
Charlie Bell,88.0,4,3.3,2.2,2,1.3,-0.1,-0.2,NA,NA
Andre Roberson,87.5,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA
Trenton Hassell,86.1,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Bob Hansen,85.9,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1
Charlie Criss,85.8,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA
Al Skinner,85.4,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA
Tony Snell,84.1,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA
Avery Bradley,83.8,4.8,3.1,2.5,2.4,1.8,0.4,0.3,-0.2,-0.5
Winston Garland,83.8,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,NA,NA
Tim Hardaway,83.6,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA
