Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Žarko Čabarkapa,,1.3,0.3,-0.4,NA
Jeffery Taylor,81.9,1.2,0.3,-0.2,NA
Roy Rogers,65.6,1.4,0.4,-0.1,NA
C.J. Kupec,60.1,1.5,0.5,-0.2,NA
Glenn McDonald,60.0,1.1,0.2,-0.2,NA
DeAndre' Bembry,53.9,0.9,0.3,-0.4,NA
Georges Niang,53.9,1.3,0,-0.3,NA
Stephen Howard,51.6,1.3,0.2,0.1,0
Winston Bennett,50.8,1.1,0.3,0.2,NA
Walter Piatkowski,50.4,1.2,0.8,-0.2,NA
Viktor Khryapa,49.6,1.3,0.4,0.3,0
