,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,25,UTS,ABA,,5,,1,,,,3,5,,,,,,,,,12
1971-72,26,UTS,ABA,,4,,0,,,,6,6,,,,,,,,,9
1972-73,27,UTS,ABA,,5,,1,,,,2,3,,,,,,,,,11
Career,,,,,5,,1,,,,6,6,,,,,,,,,12
