Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1970-71,25,UTS,ABA,PF,5,22,34,0.758,0.091,0.182,NA,NA,NA,14.9,NA,NA,29.6,NA,NA,0.2,0,0.2,0.482
1971-72,26,UTS,ABA,SF,1,10,15.7,0.676,0,0.25,NA,NA,0,0,NA,NA,0,18.7,NA,0,0,0,0.236
1972-73,27,UTS,ABA,SF,3,4,14.8,0.333,0.333,0,NA,NA,11.9,0,NA,NA,0,30.2,NA,0,0,0,-0.267
Career,NA,,ABA,,9,36,26.8,0.673,0.111,0.167,NA,NA,3.4,9.1,NA,NA,20.6,22,NA,0.2,0,0.2,0.33
