Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Roderick McDonald,,0.5,0.5,0.2,NA,NA
Alex Poythress,82.6,0.5,0.3,0.1,NA,NA
Troy Williams,79.7,0.5,0.4,0.4,NA,NA
Anthony Cook,78.3,0.5,0.4,0.1,0.1,NA
Mike Harris,77.8,0.5,0.5,0,-0.1,NA
Ron Grandison,77.4,0.6,0.5,0,0,NA
Jamal Sampson,75.7,0.5,0.4,0.2,0.2,0
Mark Randall,73.7,0.5,0.3,0.2,0,NA
Ansu Sesay,70.8,0.8,0.5,0.2,-0.1,NA
Gene James,70.7,0.5,0.3,0.1,NA,NA
Bill Curley,68.7,0.7,0.5,0.2,0.2,0
