Season,Team,Lg,Salary
1984-85,Dallas Mavericks,NBA,"$200,000"
1985-86,Dallas Mavericks,NBA,"$200,000"
1987-88,Dallas Mavericks,NBA,"$475,000"
1988-89,Dallas Mavericks,NBA,"$475,000"
1990-91,Dallas Mavericks,NBA,"$1,519,000"
1991-92,Dallas Mavericks,NBA,"$1,725,000"
1992-93,Dallas Mavericks,NBA,"$2,069,000"
1993-94,New York Knicks,NBA,"$1,927,000"
1994-95,New York Knicks,NBA,"$2,382,700"
1995-96,New York Knicks,NBA,"$2,837,000"
1996-97,Dallas Mavericks,NBA,"$1,300,000"
1997-98,Orlando Magic,NBA,"$1,560,000"
1998-99,Los Angeles Lakers,NBA,"$1,000,000"
1999-00,Detroit Pistons,NBA,"$1,100,000"
Career,(may be incomplete),,"$18,769,700"
