Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Fred Hoiberg,,6.1,5.9,5.2,2.7,2.3,2.1,1.8,1.3,0.2,0,NA,NA,NA
Craig Hodges,87.3,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,NA,NA,NA
Larry Steele,86.2,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA,NA,NA,NA
Lester Conner,85.4,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5,0.3,0,NA
Phil Ford,84.9,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA,NA,NA,NA,NA,NA
Ron Williams,84.8,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA,NA,NA,NA
Blue Edwards,84.5,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1,NA,NA,NA
Nate Robinson,84.3,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0,NA,NA
Delonte West,83.2,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA,NA,NA,NA
Quentin Richardson,83.1,5.8,5.8,5.6,3.5,3,2.4,2.1,1.3,1.3,1,0.7,0.3,-0.1
Martell Webster,83.0,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0,NA,NA,NA
