,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2015-16,23,LAL,NBA,SF,29,599,,5%,95%,1%,,-3.8,+7.6,8,6,17,0,8,1,45,2,10
2016-17,24,TOT,NBA,SF,11,159,,25%,74%,2%,,+2.0,+6.5,2,2,6,1,0,1,19,0,1
2016-17,24,NOP,NBA,SF,9,143,,17%,81%,2%,,-2.5,-0.6,2,2,6,0,0,0,13,0,1
2016-17,24,ORL,NBA,SF,2,16,,92%,8%,,,+40.4,+47.5,0,0,0,1,0,1,6,0,0
2017-18,25,MIN,NBA,SF,1,4,,,100%,,,+43.3,+40.9,0,0,0,0,0,0,2,0,0
Career,,,NBA,,41,762,,9%,90%,1%,,-2.4,+7.6,10,8,23,1,8,2,66,2,11
,,,,,,,,,,,,,,,,,,,,,,
1 season,,LAL,NBA,,29,599,,5%,95%,1%,,-3.8,+7.6,8,6,17,0,8,1,45,2,10
1 season,,NOP,NBA,,9,143,,17%,81%,2%,,-2.5,-0.6,2,2,6,0,0,0,13,0,1
1 season,,ORL,NBA,,2,16,,92%,8%,,,+40.4,+47.5,0,0,0,1,0,1,6,0,0
1 season,,MIN,NBA,,1,4,,,100%,,,+43.3,+40.9,0,0,0,0,0,0,2,0,0
