Season,Team,Lg,Salary
1984-85,Kansas City Kings,NBA,"$277,000"
1985-86,Sacramento Kings,NBA,"$352,000"
1987-88,Sacramento Kings,NBA,"$636,000"
1988-89,Sacramento Kings,NBA,"$636,000"
1990-91,Indiana Pacers,NBA,"$2,000,000"
1991-92,Indiana Pacers,NBA,"$2,000,000"
1992-93,Indiana Pacers,NBA,"$2,000,000"
1993-94,Indiana Pacers,NBA,"$2,000,000"
1994-95,Indiana Pacers,NBA,"$2,000,000"
1996-97,Denver Nuggets,NBA,"$247,500"
1999-00,Indiana Pacers,NBA,"$510,000"
Career,(may be incomplete),,"$12,658,500"
