Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,24,DET,NBA,SG,10,NA,7.8,1.1,3.8,0.289,NA,NA,NA,1.1,3.8,0.289,0.289,0.2,0.6,0.333,NA,NA,1.6,1,NA,0.8,2.4
1966-67,25,SFW,NBA,SG,12,NA,5.4,1.3,4.3,0.288,NA,NA,NA,1.3,4.3,0.288,0.288,0.5,0.9,0.545,NA,NA,1.7,0.8,NA,0.3,3
1967-68,26,SFW,NBA,SG,69,NA,19.1,3.7,8.8,0.421,NA,NA,NA,3.7,8.8,0.421,0.421,1.4,2.5,0.567,NA,NA,3.8,2.3,NA,2.4,8.9
1968-69,27,TOT,NBA,SG,66,NA,15.1,3.2,7.7,0.418,NA,NA,NA,3.2,7.7,0.418,0.418,1.3,2.2,0.613,NA,NA,2.3,2,NA,1.8,7.8
1968-69,27,MIL,NBA,SG,3,NA,7.3,0.3,2.7,0.125,NA,NA,NA,0.3,2.7,0.125,0.125,1.3,1.7,0.8,NA,NA,0.3,0.3,NA,1,2
1968-69,27,PHO,NBA,SG,63,NA,15.5,3.4,8,0.423,NA,NA,NA,3.4,8,0.423,0.423,1.3,2.2,0.606,NA,NA,2.4,2.1,NA,1.9,8
1969-70,28,LAS,ABA,SG,29,NA,24.5,3.9,10.7,0.362,0,0,0,3.9,10.6,0.364,0.362,2.2,3.3,0.677,1.8,2.2,3.9,2.6,2,2.4,10
Career,NA,,TOT,,186,NA,17,3.3,8.2,0.401,0,0,0,3.3,8.2,0.401,0.401,1.4,2.3,0.603,1.8,2.2,3,2.1,2,2,7.9
,NA,,NBA,,157,NA,15.7,3.2,7.7,0.41,NA,NA,NA,3.2,7.7,0.41,0.41,1.2,2.1,0.582,NA,NA,2.9,2,NA,1.9,7.5
,NA,,ABA,,29,NA,24.5,3.9,10.7,0.362,0,0,0,3.9,10.6,0.364,0.362,2.2,3.3,0.677,1.8,2.2,3.9,2.6,2,2.4,10
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SFW,NBA,,81,NA,17.1,3.4,8.2,0.411,NA,NA,NA,3.4,8.2,0.411,0.411,1.3,2.2,0.566,NA,NA,3.5,2.1,NA,2.1,8
1 season,NA,PHO,NBA,,63,NA,15.5,3.4,8,0.423,NA,NA,NA,3.4,8,0.423,0.423,1.3,2.2,0.606,NA,NA,2.4,2.1,NA,1.9,8
1 season,NA,LAS,ABA,,29,NA,24.5,3.9,10.7,0.362,0,0,0,3.9,10.6,0.364,0.362,2.2,3.3,0.677,1.8,2.2,3.9,2.6,2,2.4,10
1 season,NA,DET,NBA,,10,NA,7.8,1.1,3.8,0.289,NA,NA,NA,1.1,3.8,0.289,0.289,0.2,0.6,0.333,NA,NA,1.6,1,NA,0.8,2.4
1 season,NA,MIL,NBA,,3,NA,7.3,0.3,2.7,0.125,NA,NA,NA,0.3,2.7,0.125,0.125,1.3,1.7,0.8,NA,NA,0.3,0.3,NA,1,2
