,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,24,DET,NBA,,2,,,,,,1,2,,,,,,,5
1966-67,25,SFW,NBA,,4,,,,,,2,5,,,,,,,10
1967-68,26,SFW,NBA,,10,20,,,,,5,8,,,12,9,,6,22
1968-69,27,TOT,NBA,,11,,,,,,5,9,,,,,,,25
1968-69,27,MIL,NBA,,1,,,,,,2,3,,,,,,,4
1968-69,27,PHO,NBA,,11,20,,,,,5,9,,,10,9,,5,25
1969-70,28,LAS,ABA,,10,,0,,,,9,10,,,,,,,27
Career,,,TOT,,11,,,,,,9,10,,,,,,,27
,,,NBA,,11,,,,,,5,9,,,,,,,25
,,,ABA,,10,,0,,,,9,10,,,,,,,27
,,,,,,,,,,,,,,,,,,,
2 Seasons,,SFW,NBA,,10,,,,,,5,8,,,,,,,22
1 Season,,PHO,NBA,,11,20,,,,,5,9,,,10,9,,5,25
1 Season,,LAS,ABA,,10,,0,,,,9,10,,,,,,,27
1 Season,,DET,NBA,,2,,,,,,1,2,,,,,,,5
1 Season,,MIL,NBA,,1,,,,,,2,3,,,,,,,4
