Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1965-66,24,DET,NBA,SG,10,78,5.9,0.295,NA,0.158,NA,NA,NA,16.8,NA,NA,NA,-0.3,0.1,-0.2,-0.145
1966-67,25,SFW,NBA,SG,12,65,10.4,0.317,NA,0.212,NA,NA,NA,20.7,NA,NA,NA,-0.4,0.1,-0.3,-0.207
1967-68,26,SFW,NBA,SG,69,1320,12.5,0.446,NA,0.28,NA,NA,NA,16.7,NA,NA,NA,-0.4,1.8,1.4,0.05
1968-69,27,TOT,NBA,SG,66,997,13.2,0.449,NA,0.279,NA,NA,NA,19.5,NA,NA,NA,-0.1,0.3,0.2,0.011
1968-69,27,MIL,NBA,SG,3,22,0,0.294,NA,0.625,NA,NA,NA,5.3,NA,NA,NA,-0.1,0,-0.1,-0.176
1968-69,27,PHO,NBA,SG,63,975,13.5,0.452,NA,0.273,NA,NA,NA,19.9,NA,NA,NA,0,0.3,0.3,0.016
1969-70,28,LAS,ABA,SG,29,711,9.7,0.411,0.003,0.311,NA,NA,7,14.9,14,21.2,NA,-1,0.6,-0.3,-0.023
Career,NA,,TOT,,186,3171,11.9,0.432,0.001,0.281,NA,NA,7,17.3,14,21.2,NA,-2.2,3,0.8,0.011
,NA,,NBA,,157,2460,12.6,0.437,NA,0.273,NA,NA,NA,17.9,NA,NA,NA,-1.2,2.3,1.1,0.021
,NA,,ABA,,29,711,9.7,0.411,0.003,0.311,NA,NA,7,14.9,14,21.2,NA,-1,0.6,-0.3,-0.023
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SFW,NBA,,81,1385,12.4,0.436,NA,0.275,NA,NA,NA,16.9,NA,NA,NA,-0.8,1.9,1.1,0.038
1 season,NA,PHO,NBA,,63,975,13.5,0.452,NA,0.273,NA,NA,NA,19.9,NA,NA,NA,0,0.3,0.3,0.016
1 season,NA,LAS,ABA,,29,711,9.7,0.411,0.003,0.311,NA,NA,7,14.9,14,21.2,NA,-1,0.6,-0.3,-0.023
1 season,NA,DET,NBA,,10,78,5.9,0.295,NA,0.158,NA,NA,NA,16.8,NA,NA,NA,-0.3,0.1,-0.2,-0.145
1 season,NA,MIL,NBA,,3,22,0,0.294,NA,0.625,NA,NA,NA,5.3,NA,NA,NA,-0.1,0,-0.1,-0.176
