Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bob Warlick,,1.4,0.2,-0.2,-0.3,-0.3
Greg Grant,38.2,1.4,0.2,0,0,-0.1
Bobby Wilson,36.5,1.6,0.2,0,-0.1,NA
Randy Livingston,33.6,1.5,0.3,0.1,0,0
Orlando Johnson,27.3,1.5,0.1,-0.2,NA,NA
Bernard Robinson,24.2,1.7,0.3,0.1,NA,NA
Stephen Graham,23.7,1.6,0.4,0,0,-0.1
Jerry Rullo,23.3,1.5,0.6,0,-0.1,NA
Stan Noszka,21.6,1.8,0.4,-0.2,NA,NA
Willie Jones,18.7,1.3,0,-0.1,-0.1,-0.2
Charles Smith,18.6,2,0.3,0,-0.3,-0.5
