Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bob Warlick,,1.4,0.2,-0.2,-0.3,-0.3,NA
Bobby Wilson,36.5,1.6,0.2,0,-0.1,NA,NA
Orlando Johnson,27.3,1.5,0.1,-0.2,NA,NA,NA
Bernard Robinson,24.2,1.7,0.3,0.1,NA,NA,NA
Greg Grant,23.9,1.4,0.2,0,0,0,-0.1
Jerry Rullo,23.3,1.5,0.6,0,-0.1,NA,NA
Stan Noszka,21.6,1.8,0.4,-0.2,NA,NA,NA
Willie Jones,18.7,1.3,0,-0.1,-0.1,-0.2,NA
Charles Smith,18.6,2,0.3,0,-0.3,-0.5,NA
Bobby Washington,17.3,1.5,0.7,0,NA,NA,NA
Ray McCallum,17.1,1.4,0.4,0.3,NA,NA,NA
