,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1964-65,22,CIN,NBA,,5,,2,4,,,,12
1965-66,23,CIN,NBA,,5,,4,6,,,,10
1966-67,24,TOT,NBA,,6,,6,10,,,,13
1966-67,24,CIN,NBA,,5,,4,5,,,,11
1966-67,24,CHI,NBA,,6,16,6,10,16,3,5,13
1967-68,25,SEA,NBA,,7,,6,7,,,,17
1968-69,26,TOT,NBA,,14,31,11,13,24,5,6,33
1968-69,26,PHO,NBA,,14,31,11,13,24,5,6,33
1968-69,26,PHI,NBA,,9,16,6,8,16,4,6,22
1969-70,27,PHI,NBA,,8,14,9,11,13,4,6,23
1970-71,28,BUF,NBA,,9,,9,9,,,,18
Career,,,,,14,,11,13,,,,33
2 Seasons,,PHI,NBA,,9,16,9,11,16,4,6,23
3 Seasons,,CIN,NBA,,5,,4,6,,,,12
1 Season,,SEA,NBA,,7,,6,7,,,,17
1 Season,,BUF,NBA,,9,,9,9,,,,18
1 Season,,CHI,NBA,,6,16,6,10,16,3,5,13
1 Season,,PHO,NBA,,14,31,11,13,24,5,6,33
