Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1964-65,22,CIN,NBA,C,2,NA,3,1,1,1,0,0,NA,2,1,1,2
1965-66,23,CIN,NBA,C,1,NA,3,1,1,1,0,0,NA,1,0,1,2
1966-67,24,CHI,NBA,C,2,NA,27,2,9,0.222,3,6,0.5,9,0,5,7
1968-69,26,PHI,NBA,C,5,NA,45,0,7,0,3,4,0.75,18,8,9,3
1969-70,27,PHI,NBA,C,2,NA,23,4,13,0.308,1,1,1,12,1,4,9
Career,NA,,NBA,,12,NA,101,8,31,0.258,7,11,0.636,42,10,20,23
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHI,NBA,,7,NA,68,4,20,0.2,4,5,0.8,30,9,13,12
2 seasons,NA,CIN,NBA,,3,NA,6,2,2,1,0,0,NA,3,1,2,4
1 season,NA,CHI,NBA,,2,NA,27,2,9,0.222,3,6,0.5,9,0,5,7
