Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
George Wilson,,1.4,1.2,0.2,0.1,-0.4,-0.6,-1.4
Michael Olowokandi,-11.7,1.6,1.2,1.2,-0.2,-0.3,-0.4,-0.8
Zendon Hamilton,-13.9,1.8,1.1,0.1,0.1,0,0,NA
Justin Hamilton,-19.2,2.1,1.5,0.1,NA,NA,NA,NA
David Harrison,-19.2,1.5,1.4,0.4,-0.2,NA,NA,NA
Scott Lloyd,-23.9,1.3,1,0.6,0.3,-0.1,-0.6,NA
Clifford Rozier,-25.2,1.6,1.3,1.1,-0.1,NA,NA,NA
Jawann Oldham,-26.5,1.3,1,0.5,0.3,0,0,0
Hasheem Thabeet,-27.0,2.2,2,0.3,0.3,0,NA,NA
Jelani McCoy,-28.3,1.5,1.4,1.1,1,0.1,0,0
Charlie Tyra,-28.8,2.3,1.5,1.1,0.2,-0.2,NA,NA
