Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1964-65,22,CIN,NBA,C,2,3,40,1,0,NA,NA,NA,63.5,NA,0,0,0,0.501
1965-66,23,CIN,NBA,C,1,3,25.7,1,0,NA,NA,NA,0,NA,0,0,0,0.493
1966-67,24,CHI,NBA,C,2,27,3.6,0.301,0.667,NA,NA,NA,0,NA,-0.1,0,-0.1,-0.173
1968-69,26,PHI,NBA,C,5,45,7.1,0.171,0.571,NA,NA,NA,20.9,NA,-0.1,0,-0.1,-0.138
1969-70,27,PHI,NBA,C,2,23,9.9,0.335,0.077,NA,NA,NA,5.3,NA,-0.1,0,-0.1,-0.213
Career,NA,,NBA,,12,101,8.3,0.321,0.355,NA,NA,NA,12.4,NA,-0.2,0,-0.3,-0.127
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHI,NBA,,7,68,8.1,0.27,0.25,NA,NA,NA,15.6,NA,-0.2,0,-0.2,-0.164
2 seasons,NA,CIN,NBA,,3,6,32.9,1,0,NA,NA,NA,31.8,NA,0.1,0,0.1,0.497
1 season,NA,CHI,NBA,,2,27,3.6,0.301,0.667,NA,NA,NA,0,NA,-0.1,0,-0.1,-0.173
