Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
George Wilson,,1.4,1.2,0.2,0.1,-0.4,-0.6,-1.4,NA
Zendon Hamilton,-13.9,1.8,1.1,0.1,0.1,0,0,NA,NA
Justin Hamilton,-19.2,2.1,1.5,0.1,NA,NA,NA,NA,NA
David Harrison,-19.2,1.5,1.4,0.4,-0.2,NA,NA,NA,NA
Scott Lloyd,-23.9,1.3,1,0.6,0.3,-0.1,-0.6,NA,NA
Clifford Rozier,-25.2,1.6,1.3,1.1,-0.1,NA,NA,NA,NA
Hasheem Thabeet,-27.0,2.2,2,0.3,0.3,0,NA,NA,NA
Charlie Tyra,-28.8,2.3,1.5,1.1,0.2,-0.2,NA,NA,NA
Jelani McCoy,-29.2,1.5,1.4,1.1,1,0.1,0,0,0
Henry Sims,-29.3,2.1,2.1,0.4,0,NA,NA,NA,NA
Earl Williams,-29.3,1.3,1,0.4,0,NA,NA,NA,NA
