Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Joe Ruklick,,0.6,-0.2,-0.5
Bill Martin,-53.5,0.6,-0.1,-0.2
Samardo Samuels,-76.1,0.7,0,-0.1
Linton Townes,-76.3,0.7,0,-0.1
Joby Wright,-76.3,0.6,0,-0.1
Okaro White,-80.5,0.6,0.2,0
Alton Ford,-80.9,0.8,0.1,-0.1
DeAndre' Bembry,-81.2,0.9,0.3,-0.4
Howie Jolliff,-81.2,1.2,-0.2,-0.3
Gerald Paddio,-82.0,0.6,-0.1,-0.4
Brian Quinnett,-82.1,0.8,0.1,-0.1
