Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Avery Bradley,,4.8,3.1,2.5,2.4,1.8,0.4,0.3,-0.2,-0.5
Tim Hardaway,87.9,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA
Bob Hansen,87.1,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1
John Bagley,85.4,4.6,3,2.6,2.6,1.9,1.1,0.9,0.4,-0.2
Todd Day,84.9,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA
Elfrid Payton,83.8,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
Trenton Hassell,83.6,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Daniel Gibson,83.3,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA
Devean George,83.2,4.2,3.4,2.7,2.6,2.1,0.7,0.7,0.3,-0.3
Jamaal Tinsley,83.0,4.4,3.7,2.8,2.8,1.7,0.8,0.7,0.1,-0.3
Marcus Smart,82.9,5.3,3.2,2.9,2.9,1.9,NA,NA,NA,NA
