Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Josh Boone,,3.7,1.8,1.8,1.7,NA,NA
Bobby Portis,87.3,3.5,2.4,1.6,1.5,NA,NA
George Kaftan,86.3,3.4,2.4,1.7,1.6,-0.1,NA
Bob Doll,86.1,4,2.8,1.8,1.6,NA,NA
Billy Thompson,84.9,3.6,2.8,1.7,1.6,0,-0.1
Cristiano Felício,84.7,3.4,1.7,1.4,1.2,NA,NA
Anthony Bonner,82.6,4.1,2.4,1.8,1.6,0.7,0
Noah Vonleh,82.2,3.2,1.8,1.6,1.2,0.5,NA
Don Barksdale,81.9,3.1,2.3,2.2,1.5,NA,NA
Kelly Oubre,80.7,3.7,2.2,2,0.4,NA,NA
Shellie McMillon,80.6,2.5,2.2,1.7,1.7,NA,NA
