Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Greg Oden,,4.6,2.2,0.5,NA,NA
Tom Hoover,88.8,4.4,2.6,0.4,0.1,0
Mike Sojourner,88.7,4.7,2.7,0.9,NA,NA
Jamie Feick,88.0,4.8,2.2,0.9,0.2,0.2
Ed Johnson,85.1,5.1,2.4,1,NA,NA
Craig Raymond,83.8,4.7,1.7,1,0,0
Rich Niemann,76.4,4.4,1.4,1.2,0.2,NA
Lee Knorek,76.3,5.1,2.5,1.7,0,NA
Lucas Nogueira,74.9,3.7,1.6,0.7,0,NA
Howie Schultz,70.6,3,2,0.6,NA,NA
Jack Toomay,68.8,3.6,1.6,1.1,NA,NA
