Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Scott May,,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,NA,NA,NA
Robert Covington,92.2,6.1,4,3.1,2.5,2,0.1,NA,NA,NA,NA
George Irvine,89.1,5.5,3.7,3.2,2.5,1.2,0,NA,NA,NA,NA
Ronald Franz,87.7,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA,NA
Albert King,87.2,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0,-0.1,NA
Kenny Walker,84.9,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA
Bob Harris,84.8,5,4.3,3.4,1.9,1,NA,NA,NA,NA,NA
Tom Boswell,84.1,5.6,3.7,2.7,2.4,0.6,0.2,NA,NA,NA,NA
DeJuan Blair,83.8,4.8,4.6,4,3.4,2.2,0.1,-0.1,NA,NA,NA
Wayne Hightower,83.6,5.8,4.2,4,2.9,2.2,0.7,0,0,-0.2,-0.8
Fred Hetzel,83.3,5.1,4.5,2.9,2,0.9,0.5,NA,NA,NA,NA
