Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Lamar Odom,,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.7,2.2,0.7,0.3,NA
David Lee,93.9,10.3,9.1,9,7.6,7.4,6.9,6,5.7,5,3.2,3,2.7,NA,NA,NA
Shareef Abdur-Rahim,92.0,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8,0,NA,NA,NA
Larry Johnson,91.6,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,NA,NA,NA,NA,NA
Lou Hudson,91.4,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,NA,NA
Carlos Boozer,91.2,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,3.4,2.6,2.2,NA,NA
Jack Twyman,90.3,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,NA,NA,NA,NA
Chris Webber,90.3,11,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4,3.6,3.4,3.4,1.9,1.1,0.1
Bernard King,89.4,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,3.5,2.8,1.2,0.4,0,NA
John Drew,89.2,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3,0.7,NA,NA,NA,NA
James Worthy,89.1,10.6,9.7,9.5,9.3,9,7.9,7.5,6.5,5.1,3.1,3,0.1,NA,NA,NA
