Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Nikola Vučević,,10.1,7,5.7,5.2,4.4,4,3.6,1.8
Mike Gminski,89.9,9.2,6.5,6.1,5.4,4.3,4,1.8,1.5
Mychal Thompson,88.6,8.2,6.9,6.1,5.4,5.3,4.4,3.7,2.6
Chuck Share,87.1,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3
James Donaldson,86.9,10.4,6.2,5.8,5.7,5.6,5.1,5,2.5
Red Kerr,86.8,8.7,7.8,5.8,5.4,5,4.6,3.9,3.8
Caldwell Jones,86.4,8.1,7.6,6.2,5.5,5,4.4,3.9,3.1
DeMarcus Cousins,86.2,7.9,7.6,6,5.7,4.7,4.4,4.2,1.1
Tree Rollins,86.1,9.2,7.3,6.4,6.4,5.5,5,3.8,2.6
Rik Smits,85.9,7.8,7.2,6.6,5,4.3,3.4,2.9,2.7
Rich Kelley,85.8,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4
