Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Rony Seikaly,,6.8,6.7,6.5,6.2,3.2,3,2.7,2.3,0.7,-0.3,-0.5
Jim Fox,84.6,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,NA
Steve Hawes,83.9,6.1,6,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1,NA
Joe Barry Carroll,81.4,7,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0,NA
Wayne Embry,81.3,6.7,6.3,5.6,4.5,3.4,3.4,2,1.9,1.5,1.2,1.1
Enes Kanter,81.0,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA,NA
DeMarcus Cousins,80.5,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA,NA
Tom Boerwinkle,79.8,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,NA
Roy Hibbert,79.2,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8,NA,NA
Emeka Okafor,78.9,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1,NA
Ray Felix,78.4,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA,NA
