,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,23,ATL,NBA,SG,64,269,15%,75%,11%,,,+2.0,+4.3,2,3,27,2,10,3,27,4,8
2008-09,24,ATL,NBA,SG,53,269,6%,63%,30%,,,+1.2,-0.8,4,1,20,1,10,2,47,0,6
2009-10,25,ATL,NBA,SG,39,142,3%,73%,24%,,,+4.2,-0.9,1,1,15,2,5,0,18,2,3
2010-11,26,NJN,NBA,SG,6,116,8%,86%,6%,,,-0.7,+6.6,0,1,8,0,3,2,24,1,2
Career,,,NBA,,162,796,9%,72%,19%,,,+1.7,+2.0,7,6,70,5,28,7,116,7,19
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ATL,NBA,,156,680,9%,70%,21%,,,+2.1,+1.2,7,5,62,5,25,5,92,6,17
1 season,,NJN,NBA,,6,116,8%,86%,6%,,,-0.7,+6.6,0,1,8,0,3,2,24,1,2
