,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,23,ATL,NBA,SG,6,6,2%,48%,50%,,,+22.2,+37.7,0,0,0,0,1,0,0,1,1
2008-09,24,ATL,NBA,SG,11,46,,71%,29%,,,-32.9,-26.3,0,1,1,0,1,0,4,0,3
2009-10,25,ATL,NBA,SG,7,20,7%,15%,78%,,,-2.2,+6.4,0,0,3,0,0,0,3,0,0
Career,,,NBA,,24,72,2%,53%,44%,,,-19.8,-11.9,0,1,4,0,2,0,7,1,4
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ATL,NBA,,24,72,2%,53%,44%,,,-19.8,-11.9,0,1,4,0,2,0,7,1,4
