Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mario West,,0.5,0.4,0.3,0.2,NA
Kennard Winchester,79.4,0.5,0.4,0.3,NA,NA
Darrin Hancock,73.6,0.5,0.4,0.2,NA,NA
Tracy Moore,73.4,0.6,0.5,0.3,0.3,0.1
DeAndre Liggins,69.9,0.6,0.5,0.5,0,0
Jordan McRae,67.6,0.5,0.4,0.2,NA,NA
K.J. McDaniels,66.2,0.6,0.5,0.2,NA,NA
Keith McLeod,63.2,0.8,0.6,0.3,0.2,NA
Corey Gaines,62.6,0.6,0.3,0.2,0.1,-0.1
Gerald Glass,62.2,0.9,0.5,0.3,0.1,NA
Julyan Stone,60.6,0.4,0.3,0.2,0.1,NA
