Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1955-56,22,NYK,NBA,PF,70,2069,17.8,0.515,0.445,NA,NA,NA,NA,NA,4.8,1.4,6.2,0.144
1956-57,23,NYK,NBA,SF,72,2516,16.6,0.517,0.591,NA,NA,NA,NA,NA,6.4,1.6,8,0.153
1957-58,24,NYK,NBA,PF,72,2685,18.5,0.534,0.542,NA,NA,NA,NA,NA,8.3,1.7,10,0.179
1958-59,25,NYK,NBA,PF,71,2498,22.6,0.59,0.587,NA,NA,NA,NA,NA,11.9,1.5,13.3,0.256
1959-60,26,NYK,NBA,PF,64,2099,21.8,0.567,0.484,NA,NA,NA,NA,NA,7.6,1.2,8.8,0.201
1960-61,27,NYK,NBA,SF,52,1396,16.1,0.527,0.572,NA,NA,NA,NA,NA,3.6,0.4,4,0.138
1962-63,29,TOT,NBA,SF,77,1141,13.8,0.599,0.553,NA,NA,NA,NA,NA,2.9,0.7,3.7,0.155
1962-63,29,NYK,NBA,,23,359,13.3,0.543,0.5,NA,NA,NA,NA,NA,0.6,0.2,0.8,0.104
1962-63,29,SFW,NBA,SF,54,782,14.1,0.623,0.575,NA,NA,NA,NA,NA,2.4,0.5,2.9,0.178
1963-64,30,SFW,NBA,SF,51,519,12.1,0.549,0.658,NA,NA,NA,NA,NA,1,0.8,1.8,0.165
Career,NA,,NBA,,529,14923,18.4,0.548,0.542,NA,NA,NA,NA,NA,46.6,9.2,55.8,0.179
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,NYK,NBA,,424,13622,18.9,0.545,0.538,NA,NA,NA,NA,NA,43.2,7.9,51.1,0.18
2 seasons,NA,SFW,NBA,,105,1301,13.3,0.596,0.605,NA,NA,NA,NA,NA,3.3,1.4,4.7,0.173
