Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Kenny Sears,,13.3,10,8.8,8,6.2,4,3.7,1.8
Chris Webber,89.5,11,10.7,9.3,8.3,7.8,4,3.6,1.9
Richard Jefferson,89.2,11.7,11,9.9,7.6,6.6,4.7,3.4,2.4
Detlef Schrempf,88.2,10.4,9.8,9,8.1,4.4,4,3.6,0.8
Alex English,87.2,10.3,9.5,8.3,8.2,7,5.3,4,1.2
Carlos Boozer,87.0,10.2,9.9,9.9,9.4,5.9,4.1,3.5,2.6
Terry Dischinger,86.2,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8
George Yardley,86.1,12.3,10,9,7.6,7.5,6.8,5.3,NA
Roger Brown,85.7,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8
Red Robbins,85.6,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3
Rudy Tomjanovich,85.5,12.8,10.4,10.1,8.4,7.3,6.9,1.7,1
