,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1955-56,22,NYK,NBA,,11,,14,14,,,6,28
1956-57,23,NYK,NBA,,11,,17,18,,,6,33
1957-58,24,NYK,NBA,,15,,16,18,,,,38
1958-59,25,NYK,NBA,,14,,17,18,,,,41
1959-60,26,NYK,NBA,,15,,13,15,,,,39
1960-61,27,NYK,NBA,,10,,18,,,,,34
1962-63,29,TOT,NBA,,7,,7,,,,,18
1962-63,29,NYK,NBA,,7,,3,5,,,5,15
1962-63,29,SFW,NBA,,7,,7,,,,,18
1963-64,30,SFW,NBA,,6,,8,10,,,5,17
Career,,,,,15,,18,,,,,41
7 Seasons,,NYK,NBA,,15,,18,,,,,41
2 Seasons,,SFW,NBA,,7,,8,,,,,18
