,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1994-95,20,VALPO,27,943,117,267,78,170,49,65,,64,162,37,3,71,59,361,.438,.459,.754,34.9,13.4,2.4,6.0
1995-96,21,VALPO,32,1136,178,401,92,231,103,119,,92,164,46,1,88,74,551,.444,.398,.866,35.5,17.2,2.9,5.1
1996-97,22,VALPO,31,1078,193,419,100,219,131,149,,94,145,50,4,77,71,617,.461,.457,.879,34.8,19.9,3.0,4.7
1997-98,23,VALPO,31,,208,462,94,217,103,130,,130,155,53,2,,,613,.450,.433,.792,,19.8,4.2,5.0
Career,,,121,3157,696,1549,364,837,386,463,,380,626,186,10,236,204,2142,.449,.435,.834,35.1,17.7,3.1,5.2
