Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Caris LeVert,,2.3,1.8,1.7,NA,NA,NA,NA
Gary Brokaw,86.7,1.9,1.6,1.6,0.1,NA,NA,NA
Tom Garrick,86.2,2.5,1.8,1.4,0.2,NA,NA,NA
Jonathon Simmons,85.2,2,2,1.9,0.3,NA,NA,NA
Dick Garrett,83.7,2.4,2.3,1.6,0.1,-0.2,NA,NA
Yogi Ferrell,83.1,3,1.9,1.8,NA,NA,NA,NA
James Robinson,81.8,2.3,1.9,1.2,0.2,0.2,0,-0.1
Daequan Cook,81.3,2.2,1.6,1.6,0.1,-0.2,-0.4,NA
Maurice McHartley,81.2,2.4,1.8,0.8,NA,NA,NA,NA
Kenny Higgs,79.3,2.2,1.5,1,NA,NA,NA,NA
Leon Wood,78.4,2.2,2,1.9,0.6,0.3,-0.2,NA
