Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Paul Thompson,,3.7,1.1,0.1,NA,NA,NA
Bryn Forbes,81.1,3.8,2.1,0.1,NA,NA,NA
Ron Perry,79.9,4.4,1.4,0.3,NA,NA,NA
Jim Thomas,79.3,3.5,1.6,0,-0.1,NA,NA
Alfred McGuire,78.4,3.4,1.9,0.1,NA,NA,NA
Angelo Musi,75.1,3.5,1.3,1.1,NA,NA,NA
Dan Dickau,72.9,3.5,1.5,0.4,0.4,0,0
Bobby Rascoe,72.1,4.2,1.9,-0.2,NA,NA,NA
Jeffrey Congdon,70.9,4.3,0.9,0.7,0.3,0,NA
Mel Riebe,70.7,4.2,2.2,0,NA,NA,NA
D'Angelo Russell,70.7,5,1.3,0.4,0,NA,NA
