Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Travis Grant,,5.6,4.1,1.5,0.5,NA,NA,NA
Leon Powe,85.3,4.9,4.3,1.7,0.6,0.5,NA,NA
Landry Fields,85.0,5.3,3.4,1.1,0.4,0.3,NA,NA
Ed Ratleff,83.9,5.6,4.5,2.1,1,0.5,NA,NA
Walt Budko,82.7,5.6,4,2.7,1.5,NA,NA,NA
Sam Smith,81.3,4.6,3.3,1.4,0.2,NA,NA,NA
Kevon Looney,80.9,6,2.8,1.4,0.1,NA,NA,NA
Don May,79.9,6.1,2.9,1.3,0.5,0.3,0.2,0
Larry Stewart,79.7,4.7,2.9,1.6,0.5,0.1,NA,NA
Dario Šarić,78.8,6.6,3.5,1,NA,NA,NA,NA
Leonard Gray,78.5,4.1,4,1.8,NA,NA,NA,NA
