,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,LAL,NBA,,3,5,,,,,0,0,,,3,0,,,,1,6
1975-76,26,TOT,ABA,,0,,0,,,,0,0,,,,,,,,,0
1975-76,26,INA,ABA,,0,,0,,,,0,0,,,,,,,,,0
Career,,,TOT,,3,,,,,,0,0,,,,,,,,,6
,,,NBA,,3,5,,,,,0,0,,,3,0,,,,1,6
,,,ABA,,0,,0,,,,0,0,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,
1 Season,,LAL,NBA,,3,5,,,,,0,0,,,3,0,,,,1,6
1 Season,,INA,ABA,,0,,0,,,,0,0,,,,,,,,,0
