,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,LAL,NBA,,6,,,,,,5,5,,,,,,,,,12
1973-74,24,LAL,NBA,,1,3,,,,,1,3,0,1,1,0,,,,1,3
1973-74,24,SDA,ABA,,18,,1,,,,10,12,,,,,,,,,41
1974-75,25,SDA,ABA,,18,,1,,,,11,11,,,,,,,,,44
1975-76,26,TOT,ABA,,14,,0,,,,7,12,,,,,,,,,28
1975-76,26,KEN,ABA,,7,,0,,,,7,7,,,,,,,,,16
1975-76,26,INA,ABA,,14,,0,,,,7,12,,,,,,,,,28
Career,,,TOT,,18,,,,,,11,12,,,,,,,,,44
,,,NBA,,6,,,,,,5,5,,,,,,,,,12
,,,ABA,,18,,1,,,,11,12,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,SDA,ABA,,18,,1,,,,11,12,,,,,,,,,44
2 Seasons,,LAL,NBA,,6,,,,,,5,5,,,,,,,,,12
1 Season,,INA,ABA,,14,,0,,,,7,12,,,,,,,,,28
1 Season,,KEN,ABA,,7,,0,,,,7,7,,,,,,,,,16
