Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Travis Grant,,5.6,4.1,1.5,0.5
Ed Ratleff,90.6,5.6,4.5,2.1,0.5
Jim Washington,89.8,5.4,4.9,1.3,0.5
Leon Powe,89.5,4.9,4.3,1.7,0.5
Kenny Carr,87.9,5.8,3.8,1.1,0
Landry Fields,87.2,5.3,3.4,1.1,0.4
Curtis Perry,86.8,5.3,4.8,1.3,0.2
Donald Royal,85.9,5.1,3.8,1.6,1.3
Ronald Franz,85.8,5.9,3.7,2.1,0.9
Jason Maxiell,85.7,6.3,4.1,1.8,-0.2
Larry McNeill,84.5,4.4,4.3,1.5,0.7
