Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Patrick McCaw,,1.7,0.6,0.5,NA,NA
Treveon Graham,92.0,1.8,0.5,0.4,NA,NA
Terence Stansbury,83.2,1.5,0.6,0.3,NA,NA
Mike Flynn,82.1,1.7,0.8,0.3,NA,NA
Trajan Langdon,80.8,2,0.6,0.3,NA,NA
Kedrick Brown,80.5,2,0.5,0.4,0.1,NA
Bubbles Hawkins,79.2,1.9,0.6,0.3,0.1,NA
Felipe López,78.4,1.9,0.5,0.4,0.3,NA
Tracy Jackson,74.8,1.7,0.7,0,NA,NA
Kevin Williams,72.9,1.9,0.6,0.1,0.1,-0.1
Vonteego Cummings,71.5,1.3,0.6,0.2,NA,NA
