Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bevo Nordmann,,1.7,0.1,0.1,0,NA,NA
Wang Zhizhi,77.2,1.5,0.2,0.1,0.1,0.1,NA
Ronald Taylor,75.9,1.7,0,-0.2,NA,NA,NA
Chris Anstey,65.0,1.9,0.6,0.3,NA,NA,NA
Mike Novak,61.9,1.8,0.6,-0.2,NA,NA,NA
LaRue Martin,61.7,1.9,0.4,0.1,-0.4,NA,NA
George Johnson,61.6,2.4,0.3,0.2,0.1,NA,NA
John Shasky,59.4,1.9,0.7,-0.1,NA,NA,NA
Wallace Bryant,57.9,1.3,0,0,NA,NA,NA
Zendon Hamilton,57.6,1.8,1.1,0.1,0.1,0,0
Don Martin,57.3,1.6,-0.1,-0.2,NA,NA,NA
