,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1961-62,22,CIN,NBA,,4,,3,,,,,10
1962-63,23,TOT,NBA,,13,,5,,,,,30
1962-63,23,STL,NBA,,6,,4,,,,,14
1962-63,23,NYK,NBA,,13,,5,,,,,30
1963-64,24,TOT,NBA,,4,,3,4,,,,9
1963-64,24,NYK,NBA,,4,,3,4,,,,9
1963-64,24,STL,NBA,,3,,1,2,,,,6
1964-65,25,BOS,NBA,,2,,0,0,,,,4
Career,,,,,13,,5,,,,,30
1 Season,,CIN,NBA,,4,,3,,,,,10
2 Seasons,,STL,NBA,,6,,4,,,,,14
2 Seasons,,NYK,NBA,,13,,5,,,,,30
1 Season,,BOS,NBA,,2,,0,0,,,,4
