Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bevo Nordmann,,1.7,0.1,0.1,0
Wang Zhizhi,85.8,1.5,0.1,0.1,0.1
Ronald Taylor,75.9,1.7,0,-0.2,NA
Joel Przybilla,74.7,1.9,0.6,0.1,0.1
Alexis Ajinça,65.1,2.1,0.4,0,-0.1
Chris Anstey,65.0,1.9,0.6,0.3,NA
Vladimir Stepania,64.0,1.7,0.2,-0.1,-0.3
Mike Novak,61.9,1.8,0.6,-0.2,NA
LaRue Martin,61.7,1.9,0.4,0.1,-0.4
George Johnson,61.6,2.4,0.3,0.2,0.1
Nate Bowman,61.3,1.3,0.1,0,0
