Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kevin Séraphin,,2.3,1.7,1,0.8,0.2,0.1,-0.2
Michael Ruffin,86.1,1.9,1.7,1,0.6,0.2,0,0
George Lee,85.0,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Bob Brannum,84.4,2,1.6,1.1,0.8,0,NA,NA
Rory White,83.2,2.6,1.5,1,1,0.4,NA,NA
Jeff Ayres,82.7,2.4,1.3,1.2,1,0.3,0.2,NA
Charles Davis,82.0,2.1,1.5,1,0.9,0.5,0.3,-0.3
Lou Amundson,81.9,2.9,1.8,1,0.6,0.1,0.1,0.1
Chuck Terry,81.0,2.3,2.1,1.2,0.7,0.1,NA,NA
James Hardy,80.9,2.5,1.8,1.3,0.7,NA,NA,NA
Solomon Jones,80.7,1.9,1.6,0.8,0.5,0.3,0,-0.1
