Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Kevin Séraphin,,2.3,1.7,1,0.8,0.2,0.1,-0.2,NA,NA,NA
George Lee,85.0,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA,NA,NA
Bob Brannum,84.4,2,1.6,1.1,0.8,0,NA,NA,NA,NA,NA
Rory White,83.2,2.6,1.5,1,1,0.4,NA,NA,NA,NA,NA
Jeff Ayres,82.7,2.4,1.3,1.2,1,0.3,0.2,NA,NA,NA,NA
Chuck Terry,81.0,2.3,2.1,1.2,0.7,0.1,NA,NA,NA,NA,NA
James Hardy,80.9,2.5,1.8,1.3,0.7,NA,NA,NA,NA,NA,NA
Lou Amundson,80.1,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Charles Davis,79.9,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3,NA,NA
Bill Hewitt,79.8,2.4,1.7,0.8,0.6,-0.1,-0.2,NA,NA,NA,NA
Al Thornton,78.9,2.2,1.6,1.3,1.1,NA,NA,NA,NA,NA,NA
