Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Steve Novak,,4,3.9,2.2,1.4,1.1,0.9,0.4,0.3,0.3,0.1,0
Jarron Collins,84.7,4.2,3.9,3.3,1.3,1.1,1,0.7,0.2,0.1,-0.1,NA
Jason Caffey,84.5,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,NA,NA,NA
Mike O'Koren,83.8,4.1,3.8,2,1.9,1.5,1.2,0.1,-0.1,NA,NA,NA
George Johnson,81.9,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA,NA
Terry Davis,81.2,3.6,3.1,2,1.4,0.5,0.5,0.5,0.4,0.2,-0.1,NA
Danny Vranes,80.8,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA,NA
T.J. Warren,80.3,4.1,3.4,2.2,2.1,1.1,NA,NA,NA,NA,NA,NA
Toby Kimball,79.9,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA,NA
Larry McNeill,79.6,4.4,4.3,2.3,1.5,0.7,0.1,NA,NA,NA,NA,NA
Luke Walton,79.6,3.8,3.2,2,2,1.6,0.8,0.5,0.3,-0.2,-0.4,NA
