Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Melvin Ely,,2,0.8,0.6,0.4,0.3,0.1,0,-0.1,-0.3
Greg Kite,70.8,2,1.4,0.8,0.7,0.3,0.1,0.1,0.1,0
Rickey Brown,69.8,1.8,0.9,0.9,0.7,0.4,NA,NA,NA,NA
Evan Eschmeyer,64.6,2.5,0.7,0.5,0.2,NA,NA,NA,NA,NA
Jack Haley,59.9,2.2,0.4,0.3,0.2,0.1,0,0,0,-0.3
Johan Petro,59.9,1.7,1,0.8,0.7,0.4,0.4,0.4,0.2,NA
Walt Davis,59.8,1.6,0.9,0.9,0.8,0.6,NA,NA,NA,NA
Jahlil Okafor,58.7,2.2,1.2,1.2,0.6,NA,NA,NA,NA,NA
Bob Elliott,56.6,1.6,0.8,0.7,NA,NA,NA,NA,NA,NA
Eric Fernsten,56.4,1.2,1,0.5,0.5,0.2,0,NA,NA,NA
Jawann Oldham,55.0,1.3,1.2,1,0.5,0.3,0,0,0,0
