,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,22,NYK,NBA,,10,,7,8,,,,23
1959-60,23,NYK,NBA,,11,,4,5,,,,22
1960-61,24,TOT,NBA,,9,,7,,,,,18
1960-61,24,CIN,NBA,,9,,7,,,,,18
1962-63,26,STL,NBA,,9,,7,,,,,21
1963-64,27,STL,NBA,,12,,5,8,,,,27
1964-65,28,STL,NBA,,9,16,8,9,13,,,26
1965-66,29,STL,NBA,,5,9,3,3,7,1,3,13
Career,,,,,12,,8,,,,,27
4 Seasons,,STL,NBA,,12,,8,,,,,27
2 Seasons,,NYK,NBA,,11,,7,8,,,,23
1 Season,,CIN,NBA,,9,,7,,,,,18
