Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Mike Farmer,,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
DerMarr Johnson,89.9,3.2,1.7,1.3,0.4,0.1,0,-0.3
Darko Miličić,84.9,3.3,1.9,1.2,0.7,0.2,-0.2,-0.2
Willie Long,84.8,3.5,2.1,1.2,NA,NA,NA,NA
Willie Reed,82.1,3.6,1.5,1.2,NA,NA,NA,NA
Dave Lattin,80.4,3.2,2,0.6,0.4,0.2,NA,NA
Don Boven,79.4,3.8,2.2,1.5,NA,NA,NA,NA
Lorenzo Williams,79.1,3.1,1.7,1.1,0.4,0.4,0.3,0.3
Sam Dekker,79.0,3.1,1.2,1,0,NA,NA,NA
Tom Tolbert,79.0,2.7,2.5,1.3,0.1,0,0,0
Tyrone Nesby,78.7,3.1,2.9,1.3,0.3,NA,NA,NA
