Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Spencer Haywood,,17.1,10.2,9.7,8.7,7.3,6.8,4.3,3.6,3.1,3.1,2.2,2.1,0.4,NA
Rudy Tomjanovich,84.8,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1,NA,NA,NA
Peja Stojaković,83.7,13.5,10.1,10.1,9.9,8.1,8,7.3,4.8,3.8,2.7,1.7,1.6,0.9,NA
Connie Hawkins,82.3,17.9,11.3,10.2,9.6,8.6,7.5,7.1,3.5,1.1,NA,NA,NA,NA,NA
Kevin Love,81.8,14.3,11.4,10,8.7,8.5,6.4,6.4,5.3,4.9,1.3,1.1,NA,NA,NA
Lou Hudson,81.4,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,NA
Lamar Odom,80.3,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.7,2.2,0.7,0.3
Billy Cunningham,80.2,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2,NA,NA,NA
Kiki Vandeweghe,80.1,11,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2.9,2,1.2,1.1,0.8,NA
Bernard King,79.7,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,3.5,2.8,1.2,0.4,0
Cedric Maxwell,79.4,12.2,11.7,11,9.1,6.6,6.4,5.4,5.4,4.6,4.2,2,NA,NA,NA
