Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jackie Moreland,,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1
Jeff Cook,90.1,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1
Earl Lloyd,89.9,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6
Michael Kidd-Gilchrist,87.2,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA
Ryan Gomes,86.2,4.8,4.2,3.1,2.5,2.5,2.4,0,-0.2
Austin Croshere,84.6,5.4,4.1,3.4,3.2,2.6,2,0.3,0
Eric Williams,84.5,6,2.9,2.5,2.2,2.2,1.6,0.2,0.1
Gary Trent,83.4,5.5,4,3.3,3.1,3,1.7,0.4,0.1
John Brown,83.2,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA
Matt Barnes,83.0,5.9,3.7,3,3,2.3,1,0.7,0.4
Kwame Brown,82.8,4.9,3.6,2.5,1.9,1.9,0.8,0.6,0.6
