Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1960-61,22,DET,NBA,PF,3,NA,45,14,31,0.452,NA,NA,NA,14,31,0.452,0.452,4,5,0.8,NA,NA,18,3,NA,10,32
1961-62,23,DET,NBA,PF,7,NA,96,17,33,0.515,NA,NA,NA,17,33,0.515,0.515,4,7,0.571,NA,NA,24,7,NA,22,38
1962-63,24,DET,NBA,PF,4,NA,82,13,26,0.5,NA,NA,NA,13,26,0.5,0.5,7,10,0.7,NA,NA,20,6,NA,18,33
1967-68,29,NOB,ABA,PF,17,NA,487,84,193,0.435,0,2,0,84,191,0.44,0.435,40,59,0.678,NA,NA,114,43,27,74,208
1968-69,30,NOB,ABA,PF,11,NA,342,59,149,0.396,0,0,NA,59,149,0.396,0.396,21,33,0.636,NA,NA,79,27,19,49,139
Career,NA,,TOT,,42,NA,1052,187,432,0.433,0,2,0,187,430,0.435,0.433,76,114,0.667,NA,NA,255,86,46,173,450
,NA,,ABA,,28,NA,829,143,342,0.418,0,2,0,143,340,0.421,0.418,61,92,0.663,NA,NA,193,70,46,123,347
,NA,,NBA,,14,NA,223,44,90,0.489,NA,NA,NA,44,90,0.489,0.489,15,22,0.682,NA,NA,62,16,NA,50,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NOB,ABA,,28,NA,829,143,342,0.418,0,2,0,143,340,0.421,0.418,61,92,0.663,NA,NA,193,70,46,123,347
3 seasons,NA,DET,NBA,,14,NA,223,44,90,0.489,NA,NA,NA,44,90,0.489,0.489,15,22,0.682,NA,NA,62,16,NA,50,103
