,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1960-61,22,DET,NBA,,11,,,,,,5,,,,,,,,24
1961-62,23,DET,NBA,,7,,,,,,10,,,,,,,,19
1962-63,24,DET,NBA,,10,,,,,,7,,,,,,,,26
1963-64,25,DET,NBA,,10,,,,,,8,9,,,,,,,26
1964-65,26,DET,NBA,,5,,,,,,5,10,,,,,,,15
1967-68,29,NOB,ABA,,12,,3,,,,8,11,,,,,,,29
1968-69,30,NOB,ABA,,16,,1,,,,12,14,,,,,,,42
1969-70,31,NOB,ABA,,12,,1,,,,10,14,,,,,,,29
Career,,,TOT,,16,,,,,,12,,,,,,,,42
,,,NBA,,11,,,,,,10,,,,,,,,26
,,,ABA,,16,,3,,,,12,14,,,,,,,42
,,,,,,,,,,,,,,,,,,,
5 Seasons,,DET,NBA,,11,,,,,,10,,,,,,,,26
3 Seasons,,NOB,ABA,,16,,3,,,,12,14,,,,,,,42
