Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1960-61,22,DET,NBA,PF,3,NA,15,4.7,10.3,0.452,NA,NA,NA,4.7,10.3,0.452,0.452,1.3,1.7,0.8,NA,NA,6,1,NA,3.3,10.7
1961-62,23,DET,NBA,PF,7,NA,13.7,2.4,4.7,0.515,NA,NA,NA,2.4,4.7,0.515,0.515,0.6,1,0.571,NA,NA,3.4,1,NA,3.1,5.4
1962-63,24,DET,NBA,PF,4,NA,20.5,3.3,6.5,0.5,NA,NA,NA,3.3,6.5,0.5,0.5,1.8,2.5,0.7,NA,NA,5,1.5,NA,4.5,8.3
1967-68,29,NOB,ABA,PF,17,NA,28.6,4.9,11.4,0.435,0,0.1,0,4.9,11.2,0.44,0.435,2.4,3.5,0.678,NA,NA,6.7,2.5,1.6,4.4,12.2
1968-69,30,NOB,ABA,PF,11,NA,31.1,5.4,13.5,0.396,0,0,NA,5.4,13.5,0.396,0.396,1.9,3,0.636,NA,NA,7.2,2.5,1.7,4.5,12.6
Career,NA,,TOT,,42,NA,25,4.5,10.3,0.433,0,0.1,0,4.5,10.2,0.435,0.433,1.8,2.7,0.667,NA,NA,6.1,2,1.6,4.1,10.7
,NA,,ABA,,28,NA,29.6,5.1,12.2,0.418,0,0.1,0,5.1,12.1,0.421,0.418,2.2,3.3,0.663,NA,NA,6.9,2.5,1.6,4.4,12.4
,NA,,NBA,,14,NA,15.9,3.1,6.4,0.489,NA,NA,NA,3.1,6.4,0.489,0.489,1.1,1.6,0.682,NA,NA,4.4,1.1,NA,3.6,7.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NOB,ABA,,28,NA,29.6,5.1,12.2,0.418,0,0.1,0,5.1,12.1,0.421,0.418,2.2,3.3,0.663,NA,NA,6.9,2.5,1.6,4.4,12.4
3 seasons,NA,DET,NBA,,14,NA,15.9,3.1,6.4,0.489,NA,NA,NA,3.1,6.4,0.489,0.489,1.1,1.6,0.682,NA,NA,4.4,1.1,NA,3.6,7.4
