Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jackie Moreland,,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,NA,NA,NA
Jeff Cook,90.1,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA,NA
Earl Lloyd,88.7,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA,NA
Michael Kidd-Gilchrist,87.2,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA,NA
Ryan Gomes,86.2,4.8,4.2,3.1,2.5,2.5,2.4,0,-0.2,NA,NA,NA
Andray Blatche,85.4,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA,NA
Tony Campbell,83.8,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
John Brown,83.2,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA,NA
Glen Davis,82.7,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA
Maurice Harkless,82.7,4.2,3.4,3.2,2.9,2.8,2.4,0.3,NA,NA,NA,NA
Howard Porter,82.5,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA,NA
