Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1960-61,22,DET,NBA,PF,64,NA,1003,191,477,0.4,NA,NA,NA,191,477,0.4,0.4,86,132,0.652,NA,NA,315,52,NA,174,468
1961-62,23,DET,NBA,PF,74,NA,1219,205,487,0.421,NA,NA,NA,205,487,0.421,0.421,139,186,0.747,NA,NA,427,76,NA,179,549
1962-63,24,DET,NBA,PF,78,NA,1516,271,622,0.436,NA,NA,NA,271,622,0.436,0.436,145,214,0.678,NA,NA,449,114,NA,226,687
1963-64,25,DET,NBA,PF,78,NA,1780,272,639,0.426,NA,NA,NA,272,639,0.426,0.426,164,210,0.781,NA,NA,405,121,NA,268,708
1964-65,26,DET,NBA,PF,54,NA,732,103,296,0.348,NA,NA,NA,103,296,0.348,0.348,66,104,0.635,NA,NA,183,69,NA,151,272
1967-68,29,NOB,ABA,PF,76,NA,2332,459,1051,0.437,2,4,0.5,457,1047,0.436,0.438,192,263,0.73,NA,NA,619,138,124,289,1112
1968-69,30,NOB,ABA,PF,78,NA,2714,468,1109,0.422,2,8,0.25,466,1101,0.423,0.423,221,313,0.706,264,369,633,207,171,310,1159
1969-70,31,NOB,ABA,SF,80,NA,2321,317,765,0.414,2,8,0.25,315,757,0.416,0.416,139,176,0.79,150,236,386,160,152,250,775
Career,NA,,TOT,,582,NA,13617,2286,5446,0.42,6,20,0.3,2280,5426,0.42,0.42,1152,1598,0.721,414,605,3417,937,447,1847,5730
,NA,,NBA,,348,NA,6250,1042,2521,0.413,NA,NA,NA,1042,2521,0.413,0.413,600,846,0.709,NA,NA,1779,432,NA,998,2684
,NA,,ABA,,234,NA,7367,1244,2925,0.425,6,20,0.3,1238,2905,0.426,0.426,552,752,0.734,414,605,1638,505,447,849,3046
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,DET,NBA,,348,NA,6250,1042,2521,0.413,NA,NA,NA,1042,2521,0.413,0.413,600,846,0.709,NA,NA,1779,432,NA,998,2684
3 seasons,NA,NOB,ABA,,234,NA,7367,1244,2925,0.425,6,20,0.3,1238,2905,0.426,0.426,552,752,0.734,414,605,1638,505,447,849,3046
