Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1960-61,22,DET,NBA,PF,64,1003,11.7,0.437,NA,0.277,NA,NA,NA,NA,NA,NA,NA,0.1,0.5,0.5,0.026
1961-62,23,DET,NBA,PF,74,1219,14.5,0.483,NA,0.382,NA,NA,NA,NA,NA,NA,NA,1.2,1.3,2.6,0.101
1962-63,24,DET,NBA,PF,78,1516,13.9,0.48,NA,0.344,NA,NA,NA,NA,NA,NA,NA,1,1.5,2.5,0.078
1963-64,25,DET,NBA,PF,78,1780,12.1,0.484,NA,0.329,NA,NA,NA,NA,NA,NA,NA,1.5,0.8,2.3,0.062
1964-65,26,DET,NBA,PF,54,732,9.5,0.398,NA,0.351,NA,NA,NA,12.5,NA,NA,NA,-0.8,0.9,0.1,0.006
1967-68,29,NOB,ABA,PF,76,2332,16.4,0.477,0.004,0.25,NA,NA,11.4,9,9.6,20.3,NA,2.1,3.2,5.3,0.108
1968-69,30,NOB,ABA,PF,78,2714,13.5,0.465,0.007,0.282,NA,NA,10.2,10.5,12.1,19.3,NA,0.2,3.4,3.6,0.063
1969-70,31,NOB,ABA,SF,80,2321,9.7,0.46,0.01,0.23,NA,NA,7.6,9.7,15.3,16.5,NA,-0.3,2.6,2.3,0.048
Career,NA,,TOT,,582,13617,13,0.466,0.004,0.293,NA,NA,9.8,10,12.1,18.7,NA,5.1,14,19.1,0.067
,NA,,NBA,,348,6250,12.7,0.464,NA,0.336,NA,NA,NA,12.5,NA,NA,NA,3.1,4.9,8,0.061
,NA,,ABA,,234,7367,13.2,0.468,0.007,0.257,NA,NA,9.8,9.8,12.1,18.7,NA,2,9.1,11.1,0.072
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,DET,NBA,,348,6250,12.7,0.464,NA,0.336,NA,NA,NA,12.5,NA,NA,NA,3.1,4.9,8,0.061
3 seasons,NA,NOB,ABA,,234,7367,13.2,0.468,0.007,0.257,NA,NA,9.8,9.8,12.1,18.7,NA,2,9.1,11.1,0.072
